section,comm_a,comm_b,raw,bits,within_section_z,n_pairs_in_section,legacy_within_section_z,legacy_n_pairs_in_section,v9_status,v9_correction
16,KenegedAsaraMaamaritLondon847,KeterShemTovMS_L,0.1326,1.544,-0.921,28,-0.921,28,direct_pair_valid,
8,IbnShuib,KeterShemTov,0.0932,-0.102,-0.928,36,-0.928,36,direct_pair_valid,
8,IbnShuib,KeterShemTovMS_L,0.0932,-0.102,-0.928,36,-0.928,36,direct_pair_valid,
4,KeterShemTovMS_L,Likutim_bhml_1978,0.1213,0.381,-0.937,66,-0.937,66,direct_pair_valid,
30_1,DaatChacham_Vat214_Main,Rabenu_Bahayii,0.0533,-2.635,-0.938,28,-0.938,28,direct_pair_valid,
20,KenegedAsaraMaamaritLondon847,מערכת האלוהות,0.0933,-0.102,-0.939,66,-0.939,66,direct_pair_valid,
14,DaatChacham_Vat214_Marginalia,Rabenu_Bahayii,0.0979,-0.102,,55,-0.945,66,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
5,DaatChacham_Vat214_Main,KeterShemTovMS_L,0.1276,0.381,,66,-0.945,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
20,Comment_a_shuib_Parma_68,DaatChacham_Vat214_Main,0.0926,-0.102,-0.948,66,-0.948,66,direct_pair_valid,
5,DaatChacham_Vat214_Main,DaatChacham_Vat214_Marginalia,0.1268,0.381,,66,-0.956,78,excluded_default_marginalia,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
12,KenegedAsaraMaamaritLondon847,KeterShemTov,0.0576,-2.187,,66,-0.957,78,direct_pair_valid__z_requires_pipeline_rerun,⟦תיקון V9: raw/bits נשמרו כמדידות זוגיות; within-section z הושהה כי האוכלוסייה השתנתה⟧
8,DaatChacham_Vat107_Main,KeterShemTov,0.0899,-1.463,-0.964,36,-0.964,36,direct_pair_valid,
